TopologicalNode rdfid,Substation name,Substation rdfid,Active injection (MW),Reactive injection (Mvar),Voltage (kV),Phase (degrees)
_117802_VL_TN1,117802,_117802_VL,0,0,235.7,-15.6
_720207_VL_TN1,720207,_720207_VL,0,0,239.6,-11.6
_760405_VL_TN1,760405,_760405_VL,-25.5,-9.4,95.1,-8.1
_1001053489_VL_TN1,1001053,_1001053489_VL,0,0,92.9,-24.8
_1001113836_VL_TN2,1001113,_1001113836_VL,0,0,236.9,-26.6
_1001113836_VL_TN1,1001113,_1001113836_VL,0,0,237.3,-26.2
_100134494_VL_TN3,1001344,_100134494_VL,0,131.9,408.7,-4.8
_1001587920_VL_TN2,1001587,_1001587920_VL,-7.8,-4.4,65,-16.8
_1001618124_VL_TN1,1001618,_1001618124_VL,-1,0,63.4,-11.5
_1001849976_VL_TN2,1001849,_1001849976_VL,-10.2,-5.4,90.3,-19.5
_1001849976_VL_TN1,1001849,_1001849976_VL,-1.4,0.1,90,-12.7
_1001874234_VL_TN1,1001874,_1001874234_VL,-15.8,-0.2,64.4,-6.2
_1001987954_VL_TN1,1001987,_1001987954_VL,0,0,241.7,-2.6
_1002398530_VL_TN1,1002398,_1002398530_VL,0,0,94.2,-20.7
_1002424028_VL_TN2,1002424,_1002424028_VL,-27.2,-21.1,237.3,-2.8
_1002424028_VL_TN1,1002424,_1002424028_VL,0,0,242.4,0.3
_1002552104_VL_TN1,1002552,_1002552104_VL,-11.3,-2.8,64.6,-1.7
_100321906_VL_TN1,1003219,_100321906_VL,0,0,238.1,-11.4
_1003224469_VL_TN1,1003224,_1003224469_VL,-7.1,-6,90.2,-20.2
_100336083_VL_TN1,1003360,_100336083_VL,-5.3,-0.8,63.1,-30.8
_1003439261_VL_TN1,1003439,_1003439261_VL,0.3,-2.9,239.7,-3.7
_1003444022_VL_TN1,1003444,_1003444022_VL,0,0,63.7,0
_1003761991_VL_TN1,1003761,_1003761991_VL,-7.3,1.7,64.6,-8.3
_1004241226_VL_TN1,1004241,_1004241226_VL,-10.9,0.3,92.4,-11.7
_1004499392_VL_TN1,1004499,_1004499392_VL,0.4,13,65.2,-19.3
_100482678_VL_TN1,1004826,_100482678_VL,0,0,21.5,-2.4
_1005091200_VL_TN1,1005091,_1005091200_VL,-26.6,-9.9,63.6,-6.1
_1005339498_VL_TN1,1005339,_1005339498_VL,0,0,41.9,-0.6
_1005462188_VL_TN1,1005462,_1005462188_VL,-8,0.7,92.6,-11.3
_1005984184_VL_TN1,1005984,_1005984184_VL,-2,-1.2,64.1,-4.5
_1006081648_VL_TN1,1006081,_1006081648_VL,-4.4,2.6,94.3,-14.3
_1006452660_VL_TN1,1006452,_1006452660_VL,-11,-2.6,64.3,-6.5
_1006871965_VL_TN1,1006871,_1006871965_VL,0,0,237.6,-26
_1007254129_VL_TN1,1007254,_1007254129_VL,-2.5,-0.5,94.5,-8
_1007640241_VL_TN1,1007640,_1007640241_VL,2.9,-0.5,64.3,-19
_1008031107_VL_TN1,1008031,_1008031107_VL,-21.6,1.8,64.2,-1.6
_1008220684_VL_TN1,1008220,_1008220684_VL,-17.9,-7.2,93.5,-11
_10088590_VL_TN1,1008859,_10088590_VL,-21.6,-5.5,91.1,-19.6
_1008967823_VL_TN1,1008967,_1008967823_VL,0,0,63.8,-10.8
_100908872_VL_TN1,1009088,_100908872_VL,-6.9,1.3,65.1,-9.5
_1009089692_VL_TN1,1009089,_1009089692_VL,-15.7,-0.1,95.3,-8.1
_1009726828_VL_TN1,1009726,_1009726828_VL,-9,-5.7,94.6,-8.8
_1010025680_VL_TN1,1010025,_1010025680_VL,0,0,378.9,-13
_1010740810_VL_TN1,1010740,_1010740810_VL,0,0,66.7,-1
_1010887932_VL_TN1,1010887,_1010887932_VL,-20.7,-0.1,63.6,-11.8
_1011157256_VL_TN1,1011157,_1011157256_VL,0,0,64,-24.3
_1011632852_VL_TN1,1011632,_1011632852_VL,0,0,237.5,-18.3
_1011889707_VL_TN1,1011889,_1011889707_VL,-0.4,0.1,65.5,0
_1012122364_VL_TN1,1012122,_1012122364_VL,-0.9,-0.4,64.4,-20.7
_1013362362_VL_TN1,1013362,_1013362362_VL,0,0,65.8,-19.7
_1013949540_VL_TN1,1013949,_1013949540_VL,0,0,232.3,-2.9
_1014164919_VL_TN1,1014164,_1014164919_VL,-10,-3.6,93.2,-23.4
_1014794683_VL_TN1,1014794,_1014794683_VL,24,2.2,64.5,-14.7
_1015131040_VL_TN1,1015131,_1015131040_VL,0,0,94.1,-9.8
_101530444_VL_TN1,1015304,_101530444_VL,-2.2,-2.5,41.7,-0.7
_1016005326_VL_TN1,1016005,_1016005326_VL,0,0,64.5,-19.5
_1016339420_VL_TN4,1016339,_1016339420_VL,0,0,20.1,-6.2
_1016339420_VL_TN3,1016339,_1016339420_VL,0,0,20.1,-6.2
_1016339420_VL_TN2,1016339,_1016339420_VL,0,0,20.1,-6.2
_1016339420_VL_TN1,1016339,_1016339420_VL,0,0,20.1,-6.2
_1016848945_VL_TN1,1016848,_1016848945_VL,0,0,226.7,-3.1
_1016999168_VL_TN1,1016999,_1016999168_VL,0,0,64.1,-23.9
_1017138402_VL_TN1,1017138,_1017138402_VL,-1.4,0.4,64.3,-23.1
_1018390945_VL_TN1,1018390,_1018390945_VL,-23.7,-4.9,90.3,-13.8
_1019291397_VL_TN1,1019291,_1019291397_VL,-23.1,-4,62.9,-20.9
_101930994_VL_TN1,1019309,_101930994_VL,0,0,63.7,-6.3
_1019690315_VL_TN1,1019690,_1019690315_VL,-84,18.1,407.6,-1.1
_1019706450_VL_TN1,1019706,_1019706450_VL,-45.6,-6.4,63.4,-16.8
_10206016_VL_TN2,1020601,_10206016_VL,0,0,64.1,-5.5
_10206016_VL_TN1,1020601,_10206016_VL,0,0,64.1,-5.6
_102185803_VL_TN1,1021858,_102185803_VL,-9.3,-0.7,64.1,-6.6
_1022677051_VL_TN1,1022677,_1022677051_VL,-6,0.2,64.5,0.5
_1022689900_VL_TN1,1022689,_1022689900_VL,-0.4,-0.3,64.4,-10.4
_1023539923_VL_TN2,1023539,_1023539923_VL,0,91.3,240.4,-4.8
_1023539923_VL_TN1,1023539,_1023539923_VL,0,0,239.1,-5.2
_1023554063_VL_TN1,1023554,_1023554063_VL,0,0,65.3,-2.7
_1023584804_VL_TN2,1023584,_1023584804_VL,0,0,236.2,-17.9
_1024448291_VL_TN2,1024448,_1024448291_VL,0,0,240.5,-10.2
_1024448291_VL_TN1,1024448,_1024448291_VL,0,0,240.5,-10.2
_1024649303_VL_TN2,1024649,_1024649303_VL,0,0,93.4,-12.8
_1024649303_VL_TN1,1024649,_1024649303_VL,0,0,93.4,-12.6
_1024893069_VL_TN1,1024893,_1024893069_VL,23.9,7.1,408.8,-6.1
_1027561492_VL_TN1,1027561,_1027561492_VL,-4.9,-2.9,63.8,-7.2
_1028291789_VL_TN1,1028291,_1028291789_VL,5,-0.1,64.1,-7.3
_1028635898_VL_TN1,1028635,_1028635898_VL,0,0,64.6,-20.6
_1028798428_VL_TN1,1028798,_1028798428_VL,-4.3,0.2,63.7,-31.8
_1029798756_VL_TN1,1029798,_1029798756_VL,-14.1,-2.5,62.3,-12.4
_1029859897_VL_TN1,1029859,_1029859897_VL,0,0,63.6,-9.1
_1029897596_VL_TN1,1029897,_1029897596_VL,0,0,91.5,-17.5
_1030188860_VL_TN1,1030188,_1030188860_VL,-3,-0.5,62.2,-9
_1030706117_VL_TN1,1030706,_1030706117_VL,-41.8,-20,64,-12.9
_1030718640_VL_TN2,1030718,_1030718640_VL,2.3,-4.1,64.6,-7.1
_1030718640_VL_TN1,1030718,_1030718640_VL,2.5,-3.1,64.3,-7.3
_1030760774_VL_TN1,1030760,_1030760774_VL,-30.9,-12.4,65.1,-15.8
_1031067362_VL_TN1,1031067,_1031067362_VL,0,0,64.7,-19.8
_103127774_VL_TN1,1031277,_103127774_VL,0,0,404.4,-0.3
_1031278395_VL_TN1,1031278,_1031278395_VL,0,0,234.2,-1.9
_1031423880_VL_TN1,1031423,_1031423880_VL,0,0,235.3,-6.1
_1031428819_VL_TN1,1031428,_1031428819_VL,-26.2,-7.2,93.9,-9.3
_1031445967_VL_TN1,1031445,_1031445967_VL,-13.1,-2.6,64.2,-19.7
_1031664860_VL_TN1,1031664,_1031664860_VL,0,0,232.4,-16
_1032439309_VL_TN1,1032439,_1032439309_VL,-6,-3.1,63.6,1
_1032862777_VL_TN1,1032862,_1032862777_VL,0,0,236,-2.6
_1033139658_VL_TN1,1033139,_1033139658_VL,0,0,407.6,-5.7
_1033212202_VL_TN1,1033212,_1033212202_VL,-4,-1.3,94,-11.1
_1033584311_VL_TN1,1033584,_1033584311_VL,0,0,64.1,-30.5
_103365192_VL_TN1,1033651,_103365192_VL,0,0,91.1,-24.2
_1034016649_VL_TN1,1034016,_1034016649_VL,-9.4,-2.9,63.9,-13.4
_1034714145_VL_TN1,1034714,_1034714145_VL,-57.5,-6,62.7,-25.2
_103485706_VL_TN1,1034857,_103485706_VL,-17,-7,63.5,-4.7
_1035096847_VL_TN2,1035096,_1035096847_VL,0,0,61.9,-24.3
_1035096847_VL_TN1,1035096,_1035096847_VL,-7.6,0.7,63.6,-24.1
_1035355900_VL_TN1,1035355,_1035355900_VL,0,0,68.3,-2.2
_1035520871_VL_TN1,1035520,_1035520871_VL,0,0,393.9,-5.3
_1036010807_VL_TN1,1036010,_1036010807_VL,0,0,65.3,-19.9
_1036122449_VL_TN4,1036122,_1036122449_VL,0,0,239.5,-0.1
_1036122449_VL_TN3,1036122,_1036122449_VL,0,0,239.5,-0.1
_1036122449_VL_TN2,1036122,_1036122449_VL,0,0,239.5,-0.1
_1036122449_VL_TN1,1036122,_1036122449_VL,0,0,239.5,-0.1
_1037043493_VL_TN1,1037043,_1037043493_VL,0.4,0.1,62.8,-16
_1037043493_VL_TN2,1037043,_1037043493_VL,0,0,63.8,-15.7
_1037117179_VL_TN1,1037117,_1037117179_VL,0,0,65.4,-17.7
_1037543989_VL_TN1,1037543,_1037543989_VL,-13.9,-6.9,63.3,-1.7
_1037952242_VL_TN1,1037952,_1037952242_VL,-15.9,-3.1,61,-11.5
_1038781162_VL_TN1,1038781,_1038781162_VL,-8,-2,59.9,-27.3
_1039248175_VL_TN1,1039248,_1039248175_VL,-24.9,-8.8,63.4,-7.5
_1039667754_VL_TN1,1039667,_1039667754_VL,0,0,92.6,-18.4
_1039729918_VL_TN1,1039729,_1039729918_VL,-10.3,-1.6,91.6,-22.5
_1040411655_VL_TN1,1040411,_1040411655_VL,-8.9,-0.8,62,-23.7
_1041311625_VL_TN1,1041311,_1041311625_VL,-7.1,-5.1,240.1,-9
_1041347899_VL_TN1,1041347,_1041347899_VL,-20.5,-8.2,91.6,-13.6
_1041566152_VL_TN2,1041566,_1041566152_VL,2.4,-1.1,93.6,-11.7
_1041726058_VL_TN2,1041726,_1041726058_VL,0,0,234.9,3.1
_1041788380_VL_TN1,1041788,_1041788380_VL,-13.7,-0.1,64.3,-10.7
_1042086508_VL_TN1,1042086,_1042086508_VL,-11,-1.9,63.7,-18.3
_1043129356_VL_TN1,1043129,_1043129356_VL,0,0,91.4,-23.8
_1043504936_VL_TN1,1043504,_1043504936_VL,-7.1,-1.4,65.4,-12.6
_104359578_VL_TN1,1043595,_104359578_VL,0,0,64.5,-10.5
_1043703897_VL_TN1,1043703,_1043703897_VL,-17.2,-3.3,92.5,-24
_1044628140_VL_TN1,1044628,_1044628140_VL,-6.7,0.9,63.8,-4.2
_1044908991_VL_TN1,1044908,_1044908991_VL,-19.9,-1.8,91.3,-24
_1045060123_VL_TN2,1045060,_1045060123_VL,-15.9,0.2,409.5,-2.2
_1045073375_VL_TN1,1045073,_1045073375_VL,0,0,155.9,-20.9
_1045187601_VL_TN1,1045187,_1045187601_VL,-1.9,1.8,63.6,-17
_1045334974_VL_TN2,1045334,_1045334974_VL,0,0,20.3,-3.4
_1045334974_VL_TN1,1045334,_1045334974_VL,59.9,-0.7,20.6,-3.6
_1045650180_VL_TN1,1045650,_1045650180_VL,-6.7,-1,93.7,-10.5
_1045728342_VL_TN1,1045728,_1045728342_VL,-4,1,64.8,-20.4
_1045977684_VL_TN1,1045977,_1045977684_VL,0,0,407.4,-7.8
_1046108301_VL_TN1,1046108,_1046108301_VL,-2.3,4.4,94.6,-13.1
_1046116358_VL_TN1,1046116,_1046116358_VL,0,0,64.4,-17.2
_1046206208_VL_TN1,1046206,_1046206208_VL,-9.6,0.2,64.4,-20.9
_10463278_VL_TN1,1046327,_10463278_VL,-2.8,-2.8,64.7,-14.9
_1046648853_VL_TN1,1046648,_1046648853_VL,-2.6,0.5,94.1,-11.1
_1046655386_VL_TN1,1046655,_1046655386_VL,-6.4,-1,63.1,-30.9
_1047141656_VL_TN1,1047141,_1047141656_VL,-8,-0.2,63.7,-1.8
_1047287462_VL_TN1,1047287,_1047287462_VL,-9.5,0.2,64.3,-23
_1047604653_VL_TN1,1047604,_1047604653_VL,-12.9,-7.3,94.1,-10.8
_1048399666_VL_TN1,1048399,_1048399666_VL,-13.9,-3.5,90.1,-13.5
_1048444083_VL_TN1,1048444,_1048444083_VL,-29.1,-14.2,91.8,-13.5
_1049420781_VL_TN2,1049420,_1049420781_VL,0,0,64.4,-12.2
_1049420781_VL_TN1,1049420,_1049420781_VL,-14.7,-4.2,63,-11.8
_1049467766_VL_TN1,1049467,_1049467766_VL,-18.9,-6.4,64.3,-5.3
_1049564257_VL_TN1,1049564,_1049564257_VL,0,0,65.2,-9.3
_104956539_VL_TN1,1049565,_104956539_VL,-15.4,-1.9,91.9,-15
_104961783_VL_TN4,1049617,_104961783_VL,749.5,-23.3,406.9,-10.1
_104961783_VL_TN3,1049617,_104961783_VL,765.5,-219.3,406.8,-10.1
_104961783_VL_TN2,1049617,_104961783_VL,-34.2,-18.6,406.9,-10.2
_104961783_VL_TN1,1049617,_104961783_VL,-15.2,-9.6,406.9,-10.2
_1050431852_VL_TN1,1050431,_1050431852_VL,-14,-9,65.1,-6.1
_1050569247_VL_TN1,1050569,_1050569247_VL,-10.4,-1.7,62.9,-11.4
_1051148325_VL_TN1,1051148,_1051148325_VL,-25.9,-7.9,64.1,-8.3
_1051861621_VL_TN2,1051861,_1051861621_VL,-61,-25.5,239.4,-11.9
_1051881446_VL_TN1,1051881,_1051881446_VL,-15.7,-2.2,92.6,-9.6
_1052001486_VL_TN1,1052001,_1052001486_VL,0,0,95.4,-7.9
_1052231930_VL_TN1,1052231,_1052231930_VL,-13,14,64,-31
_1053291294_VL_TN1,1053291,_1053291294_VL,-10.4,2.1,65.6,-9.7
_1053879342_VL_TN2,1053879,_1053879342_VL,3.9,18.3,237.5,-2.6
_105501442_VL_TN1,1055014,_105501442_VL,-23.7,-7.9,63.2,-31.5
_1055231553_VL_TN1,1055231,_1055231553_VL,0,0,236.5,-24.4
_1055990056_VL_TN5,1055990,_1055990056_VL,0,0,20.5,-12.8
_1055990056_VL_TN3,1055990,_1055990056_VL,0,0,21.5,-14.9
_1055990056_VL_TN2,1055990,_1055990056_VL,0,0,21.5,-14.4
_1055990056_VL_TN1,1055990,_1055990056_VL,0,0,21.5,-13.9
_1056318732_VL_TN1,1056318,_1056318732_VL,-16.5,-6.1,63,-23.4
_1056712_VL_TN1,1056712,_1056712_VL,0,0,406.4,-12.3
_1056982003_VL_TN1,1056982,_1056982003_VL,0,0,239.8,-6.9
_1057152157_VL_TN1,1057152,_1057152157_VL,-1,-0.1,63.7,-7
_1057315153_VL_TN1,1057315,_1057315153_VL,-15.8,-5.5,65.9,-5
_1057863343_VL_TN1,1057863,_1057863343_VL,0,0,409.8,1.4
_1058232025_VL_TN1,1058232,_1058232025_VL,0,0,64.2,-8.7
_1058309291_VL_TN1,1058309,_1058309291_VL,-9.2,-4.5,63.1,-11.7
_1058772452_VL_TN1,1058772,_1058772452_VL,-50.1,-27.6,63.8,-11.2
_1059089996_VL_TN1,1059089,_1059089996_VL,-52.9,-16.2,239.5,-11.7
_1059467626_VL_TN1,1059467,_1059467626_VL,-10.9,-1.7,92.8,-11.1
_1059589969_VL_TN1,1059589,_1059589969_VL,0,0,63,-22.7
_105970363_VL_TN1,1059703,_105970363_VL,0,0,91.6,-15.5
_1059999654_VL_TN1,1059999,_1059999654_VL,-13.4,-3.9,64.5,-5.5
_1060229786_VL_TN1,1060229,_1060229786_VL,0,0,65.4,-17.7
_1060263955_VL_TN1,1060263,_1060263955_VL,0,0,68,-1.6
_1061379640_VL_TN1,1061379,_1061379640_VL,-12.5,-0.9,91.1,-16.2
_1061771645_VL_TN1,1061771,_1061771645_VL,0,0,93.3,-12.3
_1062842264_VL_TN1,1062842,_1062842264_VL,0,0,93.5,-11
_1063102987_VL_TN1,1063102,_1063102987_VL,223.1,34.1,237,-12.8
_1063224061_VL_TN1,1063224,_1063224061_VL,-24,-11.3,63.3,-9
_1063381346_VL_TN1,1063381,_1063381346_VL,-24.1,-7.3,62,-13.1
_1063539376_VL_TN1,1063539,_1063539376_VL,0,0,237.4,-17.2
_1064179154_VL_TN1,1064179,_1064179154_VL,-3.9,4.4,65.5,-5
_1064627337_VL_TN1,1064627,_1064627337_VL,-2,0,65.3,-19.3
_1064692532_VL_TN1,1064692,_1064692532_VL,-1.8,-0.9,63.7,0.6
_1065364767_VL_TN1,1065364,_1065364767_VL,-9.3,1.9,64.5,-16
_1065717867_VL_TN1,1065717,_1065717867_VL,0,0,402.7,-14.8
_1066367646_VL_TN1,1066367,_1066367646_VL,-6,-0.1,63.2,-30.7
_1067552007_VL_TN2,1067552,_1067552007_VL,-15,0.7,63.9,-10
_1067552007_VL_TN1,1067552,_1067552007_VL,0,0,63.9,-9.9
_1067646698_VL_TN1,1067646,_1067646698_VL,0,0,65.3,-17.1
_106772518_VL_TN1,1067725,_106772518_VL,0,0,64.1,-1.4
_1067783936_VL_TN4,1067783,_1067783936_VL,0,0,63.8,-2.8
_1067783936_VL_TN1,1067783,_1067783936_VL,0,0,63.2,-3.4
_106818856_VL_TN1,1068188,_106818856_VL,0,0,409.2,-2.1
_1069531789_VL_TN1,1069531,_1069531789_VL,-9,-3.2,63.1,-5.7
_1069850504_VL_TN3,1069850,_1069850504_VL,-18.4,-14.5,63.4,0.8
_1069850504_VL_TN1,1069850,_1069850504_VL,0,0,66.2,1.3
_1070556918_VL_TN1,1070556,_1070556918_VL,0,0,64,-12.1
_1071290745_VL_TN1,1071290,_1071290745_VL,-13.7,-3,63.9,-18.5
_1071347579_VL_TN1,1071347,_1071347579_VL,0,0,63.1,-35
_1071633706_VL_TN2,1071633,_1071633706_VL,-18.5,-5.6,240.9,-9.2
_1071633706_VL_TN1,1071633,_1071633706_VL,-18.5,-3.7,240.9,-9.2
_1071801920_VL_TN1,1071801,_1071801920_VL,0,0,65,-0.1
_1071942808_VL_TN1,1071942,_1071942808_VL,-6.1,-0.6,94.5,-11.5
_1072005239_VL_TN2,1072005,_1072005239_VL,-78.5,-17.1,239.4,-10.5
_1072005239_VL_TN1,1072005,_1072005239_VL,-60.1,-23.4,241.6,-13.2
_1072055936_VL_TN1,1072055,_1072055936_VL,-16.8,-2.2,94.7,-9.1
_1072075514_VL_TN1,1072075,_1072075514_VL,-6.5,-1.6,92.8,-23.6
_107365675_VL_TN3,1073656,_107365675_VL,0,0,238.5,-16.7
_1073704926_VL_TN1,1073704,_1073704926_VL,-27.7,-7.7,92.4,-18.4
_1073865734_VL_TN1,1073865,_1073865734_VL,-18.9,-6.8,63.7,-6.3
_107417933_VL_TN1,1074179,_107417933_VL,0,0,62,-31
_1074180577_VL_TN1,1074180,_1074180577_VL,0,0,243,1.9
_1074510492_VL_TN1,1074510,_1074510492_VL,-0.4,-1.9,65.9,-12.3
_1074521224_VL_TN1,1074521,_1074521224_VL,-6.5,1.8,93.6,-9.2
